,index,Max_Score,Pos_Neg,TP,FP,FN,TN,FPR,TPR
88,51,23.0,Negative,0.5,0.39,0.0,0.11,0.78,1.0
89,91,23.0,Negative,0.5,0.4,0.0,0.1,0.8,1.0
90,89,22.0,Negative,0.5,0.41,0.0,0.09,0.82,1.0
91,96,21.0,Negative,0.5,0.42,0.0,0.08,0.84,1.0
92,62,20.0,Negative,0.5,0.43,0.0,0.07,0.86,1.0
93,52,18.0,Negative,0.5,0.44,0.0,0.06,0.88,1.0
94,90,18.0,Negative,0.5,0.45,0.0,0.05,0.9,1.0
95,57,18.0,Negative,0.5,0.46,0.0,0.04,0.92,1.0
96,58,18.0,Negative,0.5,0.47,0.0,0.03,0.94,1.0
97,59,16.0,Negative,0.5,0.48,0.0,0.02,0.96,1.0
98,97,15.0,Negative,0.5,0.49,0.0,0.01,0.98,1.0
99,61,15.0,Negative,0.5,0.5,0.0,0.0,1.0,1.0
