,index,Max_Score,Pos_Neg,TP,FP,FN,TN,FPR,TPR
0,47,379.0,Positive,0.01,0.0,0.49,0.5,0.0,0.02
1,44,181.0,Positive,0.02,0.0,0.48,0.5,0.0,0.04
2,14,144.0,Positive,0.03,0.0,0.47,0.5,0.0,0.06
3,17,133.0,Positive,0.04,0.0,0.46,0.5,0.0,0.08
4,43,129.0,Positive,0.05,0.0,0.45,0.5,0.0,0.1
5,26,117.0,Positive,0.06,0.0,0.44,0.5,0.0,0.12
6,12,116.0,Positive,0.07,0.0,0.43,0.5,0.0,0.14
7,6,115.0,Positive,0.08,0.0,0.42,0.5,0.0,0.16
8,4,114.0,Positive,0.09,0.0,0.41,0.5,0.0,0.18
9,24,111.0,Positive,0.1,0.0,0.4,0.5,0.0,0.2
10,46,107.0,Positive,0.11,0.0,0.39,0.5,0.0,0.22
11,80,105.0,Negative,0.11,0.01,0.39,0.49,0.02,0.22
12,3,104.0,Positive,0.12,0.01,0.38,0.49,0.02,0.24
13,20,104.0,Positive,0.13,0.01,0.37,0.49,0.02,0.26
14,23,104.0,Positive,0.14,0.01,0.36,0.49,0.02,0.28
15,19,99.0,Positive,0.15,0.01,0.35,0.49,0.02,0.3
16,48,91.0,Positive,0.16,0.01,0.34,0.49,0.02,0.32
17,34,90.0,Positive,0.17,0.01,0.33,0.49,0.02,0.34
18,32,90.0,Positive,0.18,0.01,0.32,0.49,0.02,0.36
19,21,86.0,Positive,0.19,0.01,0.31,0.49,0.02,0.38
20,27,83.0,Positive,0.2,0.01,0.3,0.49,0.02,0.4
21,94,83.0,Negative,0.2,0.02,0.3,0.48,0.04,0.4
22,18,82.0,Positive,0.21,0.02,0.29,0.48,0.04,0.42
23,30,82.0,Positive,0.22,0.02,0.28,0.48,0.04,0.44
24,31,80.0,Positive,0.23,0.02,0.27,0.48,0.04,0.46
25,22,80.0,Positive,0.24,0.02,0.26,0.48,0.04,0.48
26,73,80.0,Negative,0.24,0.03,0.26,0.47,0.06,0.48
27,1,79.0,Positive,0.25,0.03,0.25,0.47,0.06,0.5
28,49,78.0,Positive,0.26,0.03,0.24,0.47,0.06,0.52
29,60,77.0,Negative,0.26,0.04,0.24,0.46,0.08,0.52
30,33,77.0,Positive,0.27,0.04,0.23,0.46,0.08,0.54
31,78,76.0,Negative,0.27,0.05,0.23,0.45,0.1,0.54
32,70,76.0,Negative,0.27,0.06,0.23,0.44,0.12,0.54
33,56,75.0,Negative,0.27,0.07,0.23,0.43,0.14,0.54
34,36,74.0,Positive,0.28,0.07,0.22,0.43,0.14,0.56
35,85,74.0,Negative,0.28,0.08,0.22,0.42,0.16,0.56
36,13,73.0,Positive,0.29,0.08,0.21,0.42,0.16,0.58
37,37,73.0,Positive,0.3,0.08,0.2,0.42,0.16,0.6
