,index,Max_Score,Pos_Neg,TP,FP,FN,TN,FPR,TPR
38,63,72.0,Negative,0.3,0.09,0.2,0.41,0.18,0.6
39,10,70.0,Positive,0.31,0.09,0.19,0.41,0.18,0.62
40,64,68.0,Negative,0.31,0.1,0.19,0.4,0.2,0.62
41,69,67.0,Negative,0.31,0.11,0.19,0.39,0.22,0.62
42,45,66.0,Positive,0.32,0.11,0.18,0.39,0.22,0.64
43,15,66.0,Positive,0.33,0.11,0.17,0.39,0.22,0.66
44,38,65.0,Positive,0.34,0.11,0.16,0.39,0.22,0.68
45,0,63.0,Positive,0.35,0.11,0.15,0.39,0.22,0.7
46,2,63.0,Positive,0.36,0.11,0.14,0.39,0.22,0.72
47,92,63.0,Negative,0.36,0.12,0.14,0.38,0.24,0.72
48,28,60.0,Positive,0.37,0.12,0.13,0.38,0.24,0.74
49,77,60.0,Negative,0.37,0.13,0.13,0.37,0.26,0.74
50,81,60.0,Negative,0.37,0.14,0.13,0.36,0.28,0.74
51,16,60.0,Positive,0.38,0.14,0.12,0.36,0.28,0.76
52,54,60.0,Negative,0.38,0.15,0.12,0.35,0.3,0.76
53,35,59.0,Positive,0.39,0.15,0.11,0.35,0.3,0.78
54,29,57.0,Positive,0.4,0.15,0.1,0.35,0.3,0.8
55,74,57.0,Negative,0.4,0.16,0.1,0.34,0.32,0.8
56,11,56.0,Positive,0.41,0.16,0.09,0.34,0.32,0.82
57,25,56.0,Positive,0.42,0.16,0.08,0.34,0.32,0.84
58,65,56.0,Negative,0.42,0.17,0.08,0.33,0.34,0.84
59,79,55.0,Negative,0.42,0.18,0.08,0.32,0.36,0.84
60,83,53.0,Negative,0.42,0.19,0.08,0.31,0.38,0.84
61,76,53.0,Negative,0.42,0.2,0.08,0.3,0.4,0.84
62,9,51.0,Positive,0.43,0.2,0.07,0.3,0.4,0.86
63,53,51.0,Negative,0.43,0.21,0.07,0.29,0.42,0.86
64,55,51.0,Negative,0.43,0.22,0.07,0.28,0.44,0.86
65,41,51.0,Positive,0.44,0.22,0.06,0.28,0.44,0.88
66,93,50.0,Negative,0.44,0.23,0.06,0.27,0.46,0.88
67,99,50.0,Negative,0.44,0.24,0.06,0.26,0.48,0.88
68,40,50.0,Positive,0.45,0.24,0.05,0.26,0.48,0.9
69,8,49.0,Positive,0.46,0.24,0.04,0.26,0.48,0.92
70,88,47.0,Negative,0.46,0.25,0.04,0.25,0.5,0.92
71,42,47.0,Positive,0.47,0.25,0.03,0.25,0.5,0.94
72,98,46.0,Negative,0.47,0.26,0.03,0.24,0.52,0.94
73,71,42.0,Negative,0.47,0.27,0.03,0.23,0.54,0.94
74,39,41.0,Positive,0.48,0.27,0.02,0.23,0.54,0.96
75,82,41.0,Negative,0.48,0.28,0.02,0.22,0.56,0.96
76,50,40.0,Negative,0.48,0.29,0.02,0.21,0.58,0.96
77,7,40.0,Positive,0.49,0.29,0.01,0.21,0.58,0.98
78,75,39.0,Negative,0.49,0.3,0.01,0.2,0.6,0.98
79,86,39.0,Negative,0.49,0.31,0.01,0.19,0.62,0.98
80,66,38.0,Negative,0.49,0.32,0.01,0.18,0.64,0.98
81,5,38.0,Positive,0.5,0.32,0.0,0.18,0.64,1.0
82,67,38.0,Negative,0.5,0.33,0.0,0.17,0.66,1.0
83,84,37.0,Negative,0.5,0.34,0.0,0.16,0.68,1.0
84,51,36.0,Negative,0.5,0.35,0.0,0.15,0.7,1.0
85,89,36.0,Negative,0.5,0.36,0.0,0.14,0.72,1.0
86,72,36.0,Negative,0.5,0.37,0.0,0.13,0.74,1.0
87,68,36.0,Negative,0.5,0.38,0.0,0.12,0.76,1.0
88,87,34.0,Negative,0.5,0.39,0.0,0.11,0.78,1.0
89,95,34.0,Negative,0.5,0.4,0.0,0.1,0.8,1.0
90,91,33.0,Negative,0.5,0.41,0.0,0.09,0.82,1.0
91,96,33.0,Negative,0.5,0.42,0.0,0.08,0.84,1.0
92,62,32.0,Negative,0.5,0.43,0.0,0.07,0.86,1.0
93,58,31.0,Negative,0.5,0.44,0.0,0.06,0.88,1.0
94,61,29.0,Negative,0.5,0.45,0.0,0.05,0.9,1.0
95,52,27.0,Negative,0.5,0.46,0.0,0.04,0.92,1.0
96,57,25.0,Negative,0.5,0.47,0.0,0.03,0.94,1.0
97,90,24.0,Negative,0.5,0.48,0.0,0.02,0.96,1.0
98,97,24.0,Negative,0.5,0.49,0.0,0.01,0.98,1.0
99,59,21.0,Negative,0.5,0.5,0.0,0.0,1.0,1.0
