,index,Max_Score,Pos_Neg,TP,FP,FN,TN,FPR,TPR
61,28,28.0,Positive,0.43,0.19,0.07,0.31,0.38,0.86
62,79,28.0,Negative,0.43,0.2,0.07,0.3,0.4,0.86
63,3,28.0,Positive,0.44,0.2,0.06,0.3,0.4,0.88
64,87,28.0,Negative,0.44,0.21,0.06,0.29,0.42,0.88
65,94,28.0,Negative,0.44,0.22,0.06,0.28,0.44,0.88
66,70,27.0,Negative,0.44,0.23,0.06,0.27,0.46,0.88
67,76,27.0,Negative,0.44,0.24,0.06,0.26,0.48,0.88
68,5,26.0,Positive,0.45,0.24,0.05,0.26,0.48,0.9
69,66,26.0,Negative,0.45,0.25,0.05,0.25,0.5,0.9
70,77,26.0,Negative,0.45,0.26,0.05,0.24,0.52,0.9
71,25,26.0,Positive,0.46,0.26,0.04,0.24,0.52,0.92
72,89,25.0,Negative,0.46,0.27,0.04,0.23,0.54,0.92
73,88,25.0,Negative,0.46,0.28,0.04,0.22,0.56,0.92
74,0,25.0,Positive,0.47,0.28,0.03,0.22,0.56,0.94
75,55,25.0,Negative,0.47,0.29,0.03,0.21,0.58,0.94
76,8,25.0,Positive,0.48,0.29,0.02,0.21,0.58,0.96
77,50,25.0,Negative,0.48,0.3,0.02,0.2,0.6,0.96
78,95,24.0,Negative,0.48,0.31,0.02,0.19,0.62,0.96
79,68,24.0,Negative,0.48,0.32,0.02,0.18,0.64,0.96
80,15,24.0,Positive,0.49,0.32,0.01,0.18,0.64,0.98
81,65,24.0,Negative,0.49,0.33,0.01,0.17,0.66,0.98
82,75,23.0,Negative,0.49,0.34,0.01,0.16,0.68,0.98
83,96,23.0,Negative,0.49,0.35,0.01,0.15,0.7,0.98
84,84,23.0,Negative,0.49,0.36,0.01,0.14,0.72,0.98
85,72,23.0,Negative,0.49,0.37,0.01,0.13,0.74,0.98
86,91,22.0,Negative,0.49,0.38,0.01,0.12,0.76,0.98
87,98,22.0,Negative,0.49,0.39,0.01,0.11,0.78,0.98
88,7,22.0,Positive,0.5,0.39,0.0,0.11,0.78,1.0
89,52,22.0,Negative,0.5,0.4,0.0,0.1,0.8,1.0
90,67,20.0,Negative,0.5,0.41,0.0,0.09,0.82,1.0
91,86,20.0,Negative,0.5,0.42,0.0,0.08,0.84,1.0
92,61,19.0,Negative,0.5,0.43,0.0,0.07,0.86,1.0
93,62,19.0,Negative,0.5,0.44,0.0,0.06,0.88,1.0
94,57,18.0,Negative,0.5,0.45,0.0,0.05,0.9,1.0
95,59,18.0,Negative,0.5,0.46,0.0,0.04,0.92,1.0
96,51,18.0,Negative,0.5,0.47,0.0,0.03,0.94,1.0
97,58,17.0,Negative,0.5,0.48,0.0,0.02,0.96,1.0
98,90,15.0,Negative,0.5,0.49,0.0,0.01,0.98,1.0
99,97,15.0,Negative,0.5,0.5,0.0,0.0,1.0,1.0
