,index,Max_Score,Pos_Neg,TP,FP,FN,TN,FPR,TPR
0,47,244.0,Positive,0.01,0.0,0.49,0.5,0.0,0.02
1,44,100.0,Positive,0.02,0.0,0.48,0.5,0.0,0.04
2,14,68.0,Positive,0.03,0.0,0.47,0.5,0.0,0.06
3,4,62.0,Positive,0.04,0.0,0.46,0.5,0.0,0.08
4,24,54.0,Positive,0.05,0.0,0.45,0.5,0.0,0.1
5,46,48.0,Positive,0.06,0.0,0.44,0.5,0.0,0.12
6,85,46.0,Negative,0.06,0.01,0.44,0.49,0.02,0.12
7,10,46.0,Positive,0.07,0.01,0.43,0.49,0.02,0.14
8,17,45.0,Positive,0.08,0.01,0.42,0.49,0.02,0.16
9,48,44.0,Positive,0.09,0.01,0.41,0.49,0.02,0.18
10,35,44.0,Positive,0.1,0.01,0.4,0.49,0.02,0.2
11,43,44.0,Positive,0.11,0.01,0.39,0.49,0.02,0.22
12,27,43.0,Positive,0.12,0.01,0.38,0.49,0.02,0.24
13,6,43.0,Positive,0.13,0.01,0.37,0.49,0.02,0.26
14,26,43.0,Positive,0.14,0.01,0.36,0.49,0.02,0.28
15,22,41.0,Positive,0.15,0.01,0.35,0.49,0.02,0.3
16,18,40.0,Positive,0.16,0.01,0.34,0.49,0.02,0.32
17,23,38.0,Positive,0.17,0.01,0.33,0.49,0.02,0.34
18,21,38.0,Positive,0.18,0.01,0.32,0.49,0.02,0.36
19,80,38.0,Negative,0.18,0.02,0.32,0.48,0.04,0.36
20,32,37.0,Positive,0.19,0.02,0.31,0.48,0.04,0.38
21,30,37.0,Positive,0.2,0.02,0.3,0.48,0.04,0.4
22,20,37.0,Positive,0.21,0.02,0.29,0.48,0.04,0.42
23,37,36.0,Positive,0.22,0.02,0.28,0.48,0.04,0.44
24,36,36.0,Positive,0.23,0.02,0.27,0.48,0.04,0.46
25,63,36.0,Negative,0.23,0.03,0.27,0.47,0.06,0.46
26,19,36.0,Positive,0.24,0.03,0.26,0.47,0.06,0.48
27,81,35.0,Negative,0.24,0.04,0.26,0.46,0.08,0.48
28,34,35.0,Positive,0.25,0.04,0.25,0.46,0.08,0.5
29,33,35.0,Positive,0.26,0.04,0.24,0.46,0.08,0.52
30,42,35.0,Positive,0.27,0.04,0.23,0.46,0.08,0.54
31,12,35.0,Positive,0.28,0.04,0.22,0.46,0.08,0.56
32,60,35.0,Negative,0.28,0.05,0.22,0.45,0.1,0.56
33,83,35.0,Negative,0.28,0.06,0.22,0.44,0.12,0.56
34,56,34.0,Negative,0.28,0.07,0.22,0.43,0.14,0.56
35,1,33.0,Positive,0.29,0.07,0.21,0.43,0.14,0.58
36,64,33.0,Negative,0.29,0.08,0.21,0.42,0.16,0.58
37,71,33.0,Negative,0.29,0.09,0.21,0.41,0.18,0.58
38,9,33.0,Positive,0.3,0.09,0.2,0.41,0.18,0.6
39,78,32.0,Negative,0.3,0.1,0.2,0.4,0.2,0.6
40,73,32.0,Negative,0.3,0.11,0.2,0.39,0.22,0.6
41,29,32.0,Positive,0.31,0.11,0.19,0.39,0.22,0.62
42,41,31.0,Positive,0.32,0.11,0.18,0.39,0.22,0.64
43,2,31.0,Positive,0.33,0.11,0.17,0.39,0.22,0.66
44,93,31.0,Negative,0.33,0.12,0.17,0.38,0.24,0.66
45,92,31.0,Negative,0.33,0.13,0.17,0.37,0.26,0.66
46,49,31.0,Positive,0.34,0.13,0.16,0.37,0.26,0.68
47,16,31.0,Positive,0.35,0.13,0.15,0.37,0.26,0.7
48,99,31.0,Negative,0.35,0.14,0.15,0.36,0.28,0.7
49,45,31.0,Positive,0.36,0.14,0.14,0.36,0.28,0.72
50,40,30.0,Positive,0.37,0.14,0.13,0.36,0.28,0.74
51,74,30.0,Negative,0.37,0.15,0.13,0.35,0.3,0.74
52,11,30.0,Positive,0.38,0.15,0.12,0.35,0.3,0.76
53,53,29.0,Negative,0.38,0.16,0.12,0.34,0.32,0.76
54,13,29.0,Positive,0.39,0.16,0.11,0.34,0.32,0.78
55,39,29.0,Positive,0.4,0.16,0.1,0.34,0.32,0.8
56,69,29.0,Negative,0.4,0.17,0.1,0.33,0.34,0.8
57,54,29.0,Negative,0.4,0.18,0.1,0.32,0.36,0.8
58,38,29.0,Positive,0.41,0.18,0.09,0.32,0.36,0.82
59,31,29.0,Positive,0.42,0.18,0.08,0.32,0.36,0.84
60,82,28.0,Negative,0.42,0.19,0.08,0.31,0.38,0.84
