,index,Max_Score,Pos_Neg,TP,FP,FN,TN,FPR,TPR
87,67,30.0,Negative,0.49,0.39,0.01,0.11,0.78,0.98
88,95,30.0,Negative,0.49,0.4,0.01,0.1,0.8,0.98
89,89,29.0,Negative,0.49,0.41,0.01,0.09,0.82,0.98
90,62,29.0,Negative,0.49,0.42,0.01,0.08,0.84,0.98
91,90,28.0,Negative,0.49,0.43,0.01,0.07,0.86,0.98
92,57,28.0,Negative,0.49,0.44,0.01,0.06,0.88,0.98
93,5,28.0,Positive,0.5,0.44,0.0,0.06,0.88,1.0
94,91,28.0,Negative,0.5,0.45,0.0,0.05,0.9,1.0
95,61,27.0,Negative,0.5,0.46,0.0,0.04,0.92,1.0
96,96,27.0,Negative,0.5,0.47,0.0,0.03,0.94,1.0
97,68,26.0,Negative,0.5,0.48,0.0,0.02,0.96,1.0
98,97,22.0,Negative,0.5,0.49,0.0,0.01,0.98,1.0
99,59,15.0,Negative,0.5,0.5,0.0,0.0,1.0,1.0
